Título,Tipo de Propiedad,Dirección,Zona,Número de Ambientes,Dormitorios,Número de Baños,Superficie Total,Superficie Construida,Precio,Expensas,Fecha de Publicación
"Departamento En Venta En Villa General Mitre, Capital Federal, Buenos Aires","Departamento - Departamento
Avenida Juan B Justo al 4000, Villa General Mitre, CABA","Departamento - Departamento
Avenida Juan B Justo al 4000, Villa General Mitre, CABA",", Villa General Mitre, CABA",2 Ambientes,1 Dorm.,1 Baño,50 m² total,50 m² cubierto,USD 65.000,No especificado,Publicado el 29/10/2024
"Departamento En Venta En Flores, Capital Federal, Buenos Aires","Departamento - Departamento
Granaderos al 800, Flores, CABA","Departamento - Departamento
Granaderos al 800, Flores, CABA",", Flores, CABA",2 Ambientes,1 Dorm.,1 Baño,1 Cochera,37.2 m² total,USD 110.000,No especificado,Publicado el 29/10/2024
"Departamento En Venta En Once, Capital Federal, Buenos Aires","Departamento - Departamento
Avenida Corrientes al 2300, Balvanera Once, CABA","Departamento - Departamento
Avenida Corrientes al 2300, Balvanera Once, CABA",", Balvanera Once, CABA",1 Ambiente,1 Baño,No especificado,26 m² cubierto,No especificado,USD 49.500,Expensas: $78.000,Publicado el 29/10/2024
"Departamento En Venta En Mataderos, Capital Federal, Buenos Aires","Departamento - Departamento
Bragado al 7200, Mataderos, CABA","Departamento - Departamento
Bragado al 7200, Mataderos, CABA",", Mataderos, CABA",2 Ambientes,1 Dorm.,1 Baño,47 m² total,47 m² cubierto,USD 85.000,No especificado,Publicado el 29/10/2024
"Departamento En Venta En Balvanera, Capital Federal, Buenos Aires","Departamento - Departamento
Sarmiento al 2000, Balvanera, CABA","Departamento - Departamento
Sarmiento al 2000, Balvanera, CABA",", Balvanera, CABA",1 Ambiente,1 Baño,No especificado,25 m² cubierto,No especificado,USD 49.000,No especificado,Publicado el 29/10/2024
"Departamento En Venta En Villa Real, Capital Federal, Buenos Aires","Departamento - Departamento
Tinogasta PB al 5800, Villa Real, CABA","Departamento - Departamento
Tinogasta PB al 5800, Villa Real, CABA",", Villa Real, CABA",2 Ambientes,1 Dorm.,1 Baño,48 m² total,48 m² cubierto,USD 81.000,No especificado,Publicado el 29/10/2024
Luminoso 2 ambientes - APTO CREDITO,"Departamento - Departamento
General Daniel Cerri al 1400, Barracas, CABA","Departamento - Departamento
General Daniel Cerri al 1400, Barracas, CABA",", Barracas, CABA",2 Ambientes,1 Dorm.,1 Baño,38 m² total,38 m² cubierto,USD 60.000,No especificado,Publicado el 29/10/2024
"CASAS - CASA - BELGRANO R, CAPITAL FEDERAL","Casa - Duplex
SUCRE ANTONIO J DE MCAL. al 3400, Belgrano R, CABA","Casa - Duplex
SUCRE ANTONIO J DE MCAL. al 3400, Belgrano R, CABA",", Belgrano R, CABA",4 Ambientes,3 Dorm.,2 Baños,1 Cochera,195.65 m² total,USD 650.000,No especificado,Publicado el 29/10/2024
Casa en venta de 2 dormitorios c/ cochera en Villa Urquiza,"Casa
Bucarelli al 3500, Villa Urquiza, CABA","Casa
Bucarelli al 3500, Villa Urquiza, CABA",", Villa Urquiza, CABA",3 Ambientes,2 Dorm.,1 Baño,142 m² total,100 m² cubierto,USD 198.000,No especificado,Publicado el 29/10/2024
Departamento - Apto Credito - 3 Ambientes - Flores,"Departamento - Departamento
Bogota al 2500, Flores, CABA","Departamento - Departamento
Bogota al 2500, Flores, CABA",", Flores, CABA",3 Ambientes,3 Dorm.,1 Baño,84 m² total,79 m² cubierto,USD 105.000,No especificado,Publicado el 29/10/2024
Casa - Lote Propio - Ideal Inversor - Terreno - Mataderos - Capital Federal,"Casa - Casa
Lisandro de la Torre al al 1500, Mataderos, CABA","Casa - Casa
Lisandro de la Torre al al 1500, Mataderos, CABA",", Mataderos, CABA",4 Ambientes,3 Dorm.,1 Baño,258 m² total,No especificado,USD 255.000,No especificado,Publicado el 29/10/2024
Departamento - Apto Crédito - Floresta,"Departamento - Departamento
Concordia al 0, Floresta, CABA","Departamento - Departamento
Concordia al 0, Floresta, CABA",", Floresta, CABA",2 Ambientes,1 Dorm.,1 Baño,40 m² total,40 m² cubierto,USD 57.000,No especificado,Publicado el 29/10/2024
Departamento en venta de 2 ambientes en Nuñez,"Departamento
O'Higgins 2840 - Nuñez al 0, Nuñez, CABA","Departamento
O'Higgins 2840 - Nuñez al 0, Nuñez, CABA",", Nuñez, CABA",2 Ambientes,1 Dorm.,1 Baño,43 m² total,36 m² cubierto,USD 115.000,No especificado,Publicado el 29/10/2024
DEPARTAMENTO,"Departamento - Departamento
Blanco Encalada al 4400, Villa Urquiza, CABA","Departamento - Departamento
Blanco Encalada al 4400, Villa Urquiza, CABA",", Villa Urquiza, CABA",1 Ambiente,1 Baño,No especificado,39 m² cubierto,No especificado,USD 65.000,No especificado,Publicado el 29/10/2024
"Departamento de 1 ambiente, mucha luz, cocina Independiente!!!","Departamento - Departamento
Catamarca al 900, San Cristóbal, CABA","Departamento - Departamento
Catamarca al 900, San Cristóbal, CABA",", San Cristóbal, CABA",1 Ambiente,1 Baño,No especificado,29 m² cubierto,No especificado,USD 43.000,Expensas: $53.000,Publicado el 29/10/2024
"Departamento 3 Ambientes con Dependencia, al Frente","Departamento - Semipiso
Avenida Monroe al 3000, Belgrano, CABA","Departamento - Semipiso
Avenida Monroe al 3000, Belgrano, CABA",", Belgrano, CABA",4 Ambientes,2 Dorm.,2 Baños,81 m² total,75 m² cubierto,USD 160.000,Expensas: $230.000,Publicado el 29/10/2024
Casa en venta de 5 ambientes en Villa Urquiza con parque y pileta,"Casa - Casa
medeyros 35000, Villa Urquiza, CABA","Casa - Casa
medeyros 35000, Villa Urquiza, CABA",", Villa Urquiza, CABA",5 Ambientes,3 Dorm.,2 Baños,1 Cochera,379 m² total,USD 369.000,Expensas: $117.000,Publicado el 29/10/2024
Departamento en venta de 2 ambientes en Nuñez,"Departamento
Arcos 3400 - Nuñez al 0, Nuñez, CABA","Departamento
Arcos 3400 - Nuñez al 0, Nuñez, CABA",", Nuñez, CABA",2 Ambientes,1 Dorm.,2 Baños,59 m² total,50 m² cubierto,USD 147.108,Expensas: $49.000,Publicado el 29/10/2024
"Departamento de 3 ambientes, con lavadero","Departamento - Departamento
Avenida Jujuy al 400, Balvanera, CABA","Departamento - Departamento
Avenida Jujuy al 400, Balvanera, CABA",", Balvanera, CABA",No especificado,No especificado,No especificado,No especificado,No especificado,USD 64.000,Expensas: $65.000,Publicado el 29/10/2024
AMPLIO 2 AMBIENTES con COCHERA FIJA CUBIERTA,"Departamento - Semipiso
ALBERDI JUAN BAUTISTA AV. al 1600, Caballito, CABA","Departamento - Semipiso
ALBERDI JUAN BAUTISTA AV. al 1600, Caballito, CABA",", Caballito, CABA",2 Ambientes,1 Dorm.,1 Baño,1 Cochera,57.32 m² total,USD 180.000,Expensas: USD 97.000,Publicado el 29/10/2024
"VENTA | Dpto. de 1 amb. interno, luminoso • Barrio Norte • Facultades","Departamento - Monoambiente
Jean Jaures al 1100, Barrio Norte Recoleta, CABA","Departamento - Monoambiente
Jean Jaures al 1100, Barrio Norte Recoleta, CABA",", Barrio Norte Recoleta, CABA",1 Ambiente,1 Baño,No especificado,24 m² cubierto,No especificado,USD 54.000,Expensas: $95.000,Publicado el 29/10/2024
Venta de Departamento 2 Ambientes en Caballito,"Departamento - Departamento
Federico García Lorca al 0, Caballito, CABA","Departamento - Departamento
Federico García Lorca al 0, Caballito, CABA",", Caballito, CABA",2 Ambientes,1 Dorm.,1 Baño,47 m² total,47 m² cubierto,USD 75.000,Expensas: USD 200.000,Publicado el 29/10/2024
"VENTA | 2 amb., interno, luminoso • Barrio Norte • Facultades","Departamento - Departamento
Jean Jaures al 1100, Barrio Norte Recoleta, CABA","Departamento - Departamento
Jean Jaures al 1100, Barrio Norte Recoleta, CABA",", Barrio Norte Recoleta, CABA",2 Ambientes,1 Dorm.,1 Baño,41 m² total,41 m² cubierto,USD 79.500,Expensas: USD 130.000,Publicado el 29/10/2024
RECOLETA - DUPLEX - 3 AMB. CON BALCÓN TERRAZA - 120 M2 TOTALES - IMPERDIBLE !!,"Departamento - Departamento
Austria 1700, Barrio Norte Recoleta, CABA","Departamento - Departamento
Austria 1700, Barrio Norte Recoleta, CABA",", Barrio Norte Recoleta, CABA",3 Ambientes,2 Dorm.,2 Baños,120 m² total,No especificado,USD 289.000,Expensas: USD 57.000,Publicado el 29/10/2024
HERMOSO 2 AMBIENTES CON BALCON Y COCHERA,"Departamento - Departamento
Rincon 6000, Balvanera, CABA","Departamento - Departamento
Rincon 6000, Balvanera, CABA",", Balvanera, CABA",2 Ambientes,1 Dorm.,1 Baño,47 m² total,43 m² cubierto,USD 120.000,No especificado,Publicado el 29/10/2024
"Amplio 2 ambientes de 60 metros, con dos patios","Departamento - Departamento
Av Boedo 300, Almagro, CABA","Departamento - Departamento
Av Boedo 300, Almagro, CABA",", Almagro, CABA",2 Ambientes,1 Dorm.,1 Baño,61.49 m² total,42.9 m² cubierto,USD 69.000,No especificado,Publicado el 29/10/2024
Amplio departamento con balcón corrido a metros del Boulevard Charcas,"Departamento - Departamento
Charcas 3600, Palermo, CABA","Departamento - Departamento
Charcas 3600, Palermo, CABA",", Palermo, CABA",4 Ambientes,4 Dorm.,1 Baño,106 m² total,97 m² cubierto,USD 210.000,Expensas: USD 271.000,Publicado el 29/10/2024
"DEPARTAMENTO 2 AMBIENTES - CENTRO NORTE (COMERCIAL), CAPITAL FEDERAL","Departamento - Departamento
MAIPU al 900, Microcentro / Centro, CABA","Departamento - Departamento
MAIPU al 900, Microcentro / Centro, CABA",", Microcentro / Centro, CABA",2 Ambientes,1 Dorm.,1 Baño,1 Cochera,40.12 m² total,USD 95.000,Expensas: $167.000,Publicado el 29/10/2024
"DEPARTAMENTO 2 AMBIENTES - RETIRO, CAPITAL FEDERAL","Departamento - Departamento
MAIPU al 900, Retiro, CABA","Departamento - Departamento
MAIPU al 900, Retiro, CABA",", Retiro, CABA",2 Ambientes,1 Dorm.,1 Baño,1 Cochera,40.12 m² total,USD 95.000,Expensas: $167.000,Publicado el 29/10/2024
"DEPARTAMENTO 2 AMBIENTES - PLAZA SAN MARTÍN, CAPITAL FEDERAL","Departamento - Departamento
MAIPU al 900, Retiro Plaza San Martín, CABA","Departamento - Departamento
MAIPU al 900, Retiro Plaza San Martín, CABA",", Retiro Plaza San Martín, CABA",2 Ambientes,1 Dorm.,1 Baño,1 Cochera,40.12 m² total,USD 95.000,Expensas: $167.000,Publicado el 29/10/2024
APTO CREDITO Moderno Monoambiente con balcón al contrafrente,"Departamento - Monoambiente
py margall 400, La Boca, CABA","Departamento - Monoambiente
py margall 400, La Boca, CABA",", La Boca, CABA",1 Ambiente,1 Dorm.,1 Baño,34 m² total,32 m² cubierto,USD 45.000,Expensas: USD 40.000,Publicado el 29/10/2024
Luminoso departamento con cochera en Palermo,"Departamento - Departamento
Guemes 4100, Palermo, CABA","Departamento - Departamento
Guemes 4100, Palermo, CABA",", Palermo, CABA",4 Ambientes,4 Dorm.,2 Baños,82 m² total,82 m² cubierto,USD 230.000,Expensas: USD 108.000,Publicado el 29/10/2024
Apto Profesional Departamento 3 amb con patio. BAJAS EXPENSAS.EXCELENTE ubicación!,"Departamento - Departamento
Guemes 3300, Palermo, CABA","Departamento - Departamento
Guemes 3300, Palermo, CABA",", Palermo, CABA",3 Ambientes,2 Dorm.,1 Baño,85.52 m² total,65.15 m² cubierto,USD 138.000,Expensas: USD 77.000,Publicado el 29/10/2024
"Departamento de 3 amb. con balcón y lavadero. Excelente ubicación, Palermo.","Departamento - Departamento
Paraguay 4000, Palermo, CABA","Departamento - Departamento
Paraguay 4000, Palermo, CABA",", Palermo, CABA",3 Ambientes,2 Dorm.,1 Baño,56.84 m² total,54.86 m² cubierto,USD 120.000,Expensas: USD 140.000,Publicado el 29/10/2024
"DEPARTAMENTO 2 AMBIENTES - BARRIO NORTE, CAPITAL FEDERAL","Departamento - Departamento
MAIPU al 900, Barrio Norte, CABA","Departamento - Departamento
MAIPU al 900, Barrio Norte, CABA",", Barrio Norte, CABA",2 Ambientes,1 Dorm.,1 Baño,1 Cochera,40.12 m² total,USD 95.000,Expensas: $167.000,Publicado el 29/10/2024
2 AMBIENTES SARANDI AL 1300 SAN CRISTOBAL,"Departamento - Departamento
Sarandí al 1300, San Cristóbal, CABA","Departamento - Departamento
Sarandí al 1300, San Cristóbal, CABA",", San Cristóbal, CABA",2 Ambientes,1 Dorm.,1 Baño,42 m² total,42 m² cubierto,USD 52.000,Expensas: $70.000,Publicado el 29/10/2024
Tres ambientes - Amplio Patio - Balcón Flores Cap. Federal,"Departamento - Piso
San Pedrito al 200, Flores, CABA","Departamento - Piso
San Pedrito al 200, Flores, CABA",", Flores, CABA",3 Ambientes,2 Dorm.,1 Baño,84 m² total,54 m² cubierto,USD 125.000,Expensas: $100.000,Publicado el 29/10/2024
AMPLIO y LUMINOSO 4 AMB CON COCINA Y BAÑOS SUPER MODERNOS.,"Departamento - Departamento
SANABRIA al 4700, Villa Devoto, CABA","Departamento - Departamento
SANABRIA al 4700, Villa Devoto, CABA",", Villa Devoto, CABA",4 Ambientes,3 Dorm.,2 Baños,74 m² total,69 m² cubierto,USD 159.000,Expensas: $98.000,Publicado el 29/10/2024
Departamento - Venta - Capital Federal,"Departamento - Departamento
Nogoyá al 4000, Villa Devoto, CABA","Departamento - Departamento
Nogoyá al 4000, Villa Devoto, CABA",", Villa Devoto, CABA",3 Ambientes,2 Dorm.,2 Baños,67 m² total,55 m² cubierto,USD 170.850,Expensas: $180.000,Publicado el 29/10/2024
Piso Imperdible 5 ambientes en Villa Crespo,"Departamento - Piso
JULIAN ALVAREZ al 500, Villa Crespo, CABA","Departamento - Piso
JULIAN ALVAREZ al 500, Villa Crespo, CABA",", Villa Crespo, CABA",5 Ambientes,4 Dorm.,2 Baños,150 m² total,135 m² cubierto,USD 297.000,No especificado,Publicado el 29/10/2024
Casa de 4 ambientes con garage,"Casa - Casa
Leopardi al 300, Villa Luro, CABA","Casa - Casa
Leopardi al 300, Villa Luro, CABA",", Villa Luro, CABA",4 Ambientes,3 Dorm.,1 Baño,1 Cochera,216 m² total,USD 220.000,No especificado,Publicado el 29/10/2024
60m2 Villa Urquiza Excelentes 3 Amb Super Luminoso Con Balcón Al Frente,"Departamento - Departamento
Galvan al al 3000, Villa Urquiza, CABA","Departamento - Departamento
Galvan al al 3000, Villa Urquiza, CABA",", Villa Urquiza, CABA",3 Ambientes,2 Dorm.,2 Baños,60 m² total,57 m² cubierto,USD 162.000,No especificado,Publicado el 28/10/2024
1 Amb Div C/ Balcon 43m2 - Beltran Y Av. Rivadavia - Apto Prof.,"Departamento - Departamento
Beltran - Flores al 0, Flores, CABA","Departamento - Departamento
Beltran - Flores al 0, Flores, CABA",", Flores, CABA",1 Ambiente,1 Baño,No especificado,35 m² cubierto,No especificado,USD 89.500,No especificado,Publicado el 28/10/2024
1 Amb Div C/ Balcon - Beltran Y Av. Rivadavia - Apto Prof.,"Departamento - Departamento
Beltran al 0, Flores, CABA","Departamento - Departamento
Beltran al 0, Flores, CABA",", Flores, CABA",1 Ambiente,1 Baño,No especificado,38 m² cubierto,No especificado,USD 95.000,No especificado,Publicado el 28/10/2024
Departamento En Caballito 3 Ambientes A Estrenar,"Departamento - Departamento
Riglos al al 500, Caballito, CABA","Departamento - Departamento
Riglos al al 500, Caballito, CABA",", Caballito, CABA",3 Ambientes,2 Dorm.,1 Baño,1 Cochera,74 m² total,USD 250.000,No especificado,Publicado el 28/10/2024
"2 Amb. Congreso, Pichincha Y Venezuela. Frente Con Balcon","Departamento - Departamento
Pichincha 1° al 500, Balvanera Congreso, CABA","Departamento - Departamento
Pichincha 1° al 500, Balvanera Congreso, CABA",", Balvanera Congreso, CABA",2 Ambientes,1 Dorm.,1 Baño,38 m² total,35 m² cubierto,USD 69.000,No especificado,Publicado el 28/10/2024
"2 Amb. Congreso, Pichincha Y Venezuela. Frente Con Balcon","Departamento - Departamento
Pichincha 1° al 500, Balvanera, CABA","Departamento - Departamento
Pichincha 1° al 500, Balvanera, CABA",", Balvanera, CABA",2 Ambientes,1 Dorm.,1 Baño,38 m² total,35 m² cubierto,USD 69.000,No especificado,Publicado el 28/10/2024
Departamento En Villa Crespo,"Departamento - Departamento
Remedios de Escalada de San Martin al al 700, Villa Crespo, CABA","Departamento - Departamento
Remedios de Escalada de San Martin al al 700, Villa Crespo, CABA",", Villa Crespo, CABA",1 Ambiente,1 Dorm.,1 Baño,41 m² total,34 m² cubierto,USD 80.000,No especificado,Publicado el 28/10/2024
Venta De Departamento De 2 Ambientes En Congreso De 53m2 Con Balcon Cubierto Apto Credito,"Departamento - Departamento
Venezuela al al 2300, Balvanera Congreso, CABA","Departamento - Departamento
Venezuela al al 2300, Balvanera Congreso, CABA",", Balvanera Congreso, CABA",2 Ambientes,1 Dorm.,1 Baño,53 m² total,49 m² cubierto,USD 78.000,No especificado,Publicado el 28/10/2024
Departamento 4 Ambientes En Venta En Boedo,"Departamento - Departamento
San Juan al al 4200, Boedo, CABA","Departamento - Departamento
San Juan al al 4200, Boedo, CABA",", Boedo, CABA",4 Ambientes,3 Dorm.,1 Baño,71 m² total,61 m² cubierto,USD 85.000,No especificado,Publicado el 28/10/2024
Departamento Monoambiente - Venta - Piso Alto - Balcón - Amoblado -flores,"Departamento - Departamento
La Fuente al 100, Flores, CABA","Departamento - Departamento
La Fuente al 100, Flores, CABA",", Flores, CABA",1 Ambiente,1 Dorm.,1 Baño,37 m² total,34 m² cubierto,USD 85.000,No especificado,Publicado el 28/10/2024
"Pasco 500, Departamento 2 Ambiente Con Entrepiso, 42m2, En Pb, Balvanera","Departamento - Departamento
Pasco al al 500, Balvanera, CABA","Departamento - Departamento
Pasco al al 500, Balvanera, CABA",", Balvanera, CABA",1 Ambiente,1 Dorm.,1 Baño,42 m² total,42 m² cubierto,USD 59.500,No especificado,Publicado el 28/10/2024
"Oportunidad Departamento Tipo Ph, 2 Ambientes A Reciclar En Almagro, Bajas Expensas","Departamento - Departamento
Bulnes al al 200, Almagro Norte, CABA","Departamento - Departamento
Bulnes al al 200, Almagro Norte, CABA",", Almagro Norte, CABA",2 Ambientes,1 Dorm.,1 Baño,38 m² total,38 m² cubierto,USD 58.000,No especificado,Publicado el 28/10/2024
"Av Medrano Al 600, Departamento 3 Ambientes Con Balcón, Piso Alto Reciclado A Nuevo, En Almagro","Departamento - Departamento
Av Medrano al al 600, Almagro Norte, CABA","Departamento - Departamento
Av Medrano al al 600, Almagro Norte, CABA",", Almagro Norte, CABA",3 Ambientes,2 Dorm.,1 Baño,52 m² total,49 m² cubierto,USD 115.000,No especificado,Publicado el 28/10/2024
Departamento Semipiso 3 Ambientes Amoblado,"Departamento - Semipiso
Campos Salles 7° B al 2300, Nuñez, CABA","Departamento - Semipiso
Campos Salles 7° B al 2300, Nuñez, CABA",", Nuñez, CABA",3 Ambientes,2 Dorm.,1 Baño,60 m² total,60 m² cubierto,USD 140.000,No especificado,Publicado el 28/10/2024
Casa 4 Ambientes Garaje Quincho Y Terraza,"Casa
Vuelta De Obligado al 3300, Nuñez, CABA","Casa
Vuelta De Obligado al 3300, Nuñez, CABA",", Nuñez, CABA",4 Ambientes,3 Dorm.,2 Baños,1 Cochera,173 m² total,USD 280.000,No especificado,Publicado el 28/10/2024
Casa 4 Ambientes Garaje Quincho Y Terraza,"Casa
Vuelta De Obligado al 3300, Nuñez, CABA","Casa
Vuelta De Obligado al 3300, Nuñez, CABA",", Nuñez, CABA",4 Ambientes,3 Dorm.,2 Baños,1 Cochera,173 m² total,USD 280.000,No especificado,Publicado el 28/10/2024
Semipiso 4 Ambientes C/ Depcia Y Cochera,"Departamento - Semipiso
Mendoza 3° al 1500, Belgrano, CABA","Departamento - Semipiso
Mendoza 3° al 1500, Belgrano, CABA",", Belgrano, CABA",5 Ambientes,4 Dorm.,3 Baños,1 Cochera,123 m² total,USD 250.000,No especificado,Publicado el 28/10/2024
Departamento - Nuñez,"Departamento - Departamento
Vedia al 2300, Nuñez, CABA","Departamento - Departamento
Vedia al 2300, Nuñez, CABA",", Nuñez, CABA",3 Ambientes,2 Dorm.,1 Baño,83 m² total,80 m² cubierto,USD 180.000,No especificado,Publicado el 28/10/2024
"Depto 2 Amb Triplex Pileta Propia , Parrilla Y Cochera","Departamento - Triplex
Campos Salles 3° al 2200, Nuñez, CABA","Departamento - Triplex
Campos Salles 3° al 2200, Nuñez, CABA",", Nuñez, CABA",2 Ambientes,1 Dorm.,2 Baños,1 Cochera,87 m² total,USD 180.000,No especificado,Publicado el 28/10/2024
"Venta Departamento En Torre Brukman Mansilla, Semipiso 6 Ambientes Al Contrafrente En Palermo","Departamento - Departamento
Malabia al al 2400, Palermo, CABA","Departamento - Departamento
Malabia al al 2400, Palermo, CABA",", Palermo, CABA",6 Ambientes,5 Dorm.,3 Baños,2 Cocheras,234 m² total,USD 779.000,No especificado,Publicado el 28/10/2024
Venta Excepcional Triplex En Belgrano Teodoro Garcia Y Luis Maria Campos Integramente Equipado,"Departamento - Departamento
Teodoro Garcia al al 1900, Belgrano, CABA","Departamento - Departamento
Teodoro Garcia al al 1900, Belgrano, CABA",", Belgrano, CABA",5 Ambientes,4 Dorm.,4 Baños,1 Cochera,367 m² total,USD 820.000,No especificado,Publicado el 28/10/2024
Departamento Monoambiente Venta - Belgrano,"Departamento - Departamento
Sucre al Entre Moldes y Amenabar al 2600, Belgrano, CABA","Departamento - Departamento
Sucre al Entre Moldes y Amenabar al 2600, Belgrano, CABA",", Belgrano, CABA",1 Ambiente,1 Baño,No especificado,20 m² cubierto,No especificado,USD 65.000,Expensas: $146.000,Publicado el 28/10/2024
Venta Monoambiente En Villa Devoto,"Departamento - Departamento
Av. Francisco Beiró al al 3600, Villa Devoto, CABA","Departamento - Departamento
Av. Francisco Beiró al al 3600, Villa Devoto, CABA",", Villa Devoto, CABA",1 Ambiente,1 Baño,No especificado,36 m² cubierto,No especificado,USD 85.000,No especificado,Publicado el 28/10/2024
Nueva Oportunidad!- Venta Loft 2 Amb C/terraza Y Parrilla En Villa Del Parque,"Departamento - Departamento
Baigorria al al 3800, Villa del Parque, CABA","Departamento - Departamento
Baigorria al al 3800, Villa del Parque, CABA",", Villa del Parque, CABA",2 Ambientes,1 Dorm.,1 Baño,83 m² total,48 m² cubierto,USD 140.000,No especificado,Publicado el 28/10/2024
"Venta Casa 5 Ambientes Con Parque, Piscina Y Quincho En Villa Devoto","Casa - Casa
Joaquin V Gonzalez al al 4200, Villa Devoto, CABA","Casa - Casa
Joaquin V Gonzalez al al 4200, Villa Devoto, CABA",", Villa Devoto, CABA",5 Ambientes,3 Dorm.,2 Baños,1 Cochera,234 m² total,USD 510.000,No especificado,Publicado el 28/10/2024
1amb Con Balcon Terraza A Estrenar En Edificio Boutique En Nuñez,"Departamento - Departamento
Amenabar al al 3000, Nuñez, CABA","Departamento - Departamento
Amenabar al al 3000, Nuñez, CABA",", Nuñez, CABA",1 Ambiente,1 Baño,No especificado,27 m² cubierto,No especificado,USD 115.000,No especificado,Publicado el 28/10/2024
Venta: 3 Ambientes En Excelente Ubicación: Frente A Parque Centenario,"Departamento - Departamento
Angel Gallardo al (camargo y Warnes) al 300, Villa Crespo, CABA","Departamento - Departamento
Angel Gallardo al (camargo y Warnes) al 300, Villa Crespo, CABA",", Villa Crespo, CABA",3 Ambientes,2 Dorm.,1 Baño,50 m² total,50 m² cubierto,USD 93.000,No especificado,Publicado el 28/10/2024
Venta: 3 Ambientes En Excelente Ubicación: Frente A Parque Centenario,"Departamento - Departamento
Angel Gallardo al (camargo y Warnes) al 300, Caballito, CABA","Departamento - Departamento
Angel Gallardo al (camargo y Warnes) al 300, Caballito, CABA",", Caballito, CABA",3 Ambientes,2 Dorm.,1 Baño,50 m² total,50 m² cubierto,USD 93.000,No especificado,Publicado el 28/10/2024
Departamento En Viamonte Al 600,"Departamento - Departamento
Viamonte al 600, undefined, CABA","Departamento - Departamento
Viamonte al 600, undefined, CABA",", undefined, CABA",3 Ambientes,2 Dorm.,1 Baño,1 Cochera,73 m² total,USD 139.000,No especificado,Publicado el 28/10/2024
Venta Art Maria 2 Ambientes - Puerto Madero,"Departamento - Departamento
C. O'gorman - Art Maria al 400, Puerto Madero, CABA","Departamento - Departamento
C. O'gorman - Art Maria al 400, Puerto Madero, CABA",", Puerto Madero, CABA",2 Ambientes,2 Dorm.,1 Baño,1 Cochera,68 m² total,USD 380.000,No especificado,Publicado el 28/10/2024
Duplex De 4 Ambientes Con Cochera Y Amenities En Caballito,"Departamento - Departamento
Juan B Alberdi al al 300, Caballito, CABA","Departamento - Departamento
Juan B Alberdi al al 300, Caballito, CABA",", Caballito, CABA",4 Ambientes,3 Dorm.,3 Baños,1 Cochera,125 m² total,USD 295.000,No especificado,Publicado el 28/10/2024
Departamento - Venta - Capital Federal,"Departamento - Departamento
Valentín Gómez al 3600, Almagro, CABA","Departamento - Departamento
Valentín Gómez al 3600, Almagro, CABA",", Almagro, CABA",3 Ambientes,2 Dorm.,1 Baño,79 m² total,65 m² cubierto,USD 173.800,No especificado,Publicado el 28/10/2024
Departamento - Venta - Capital Federal,"Departamento - Departamento
Av. Independencia al 1700, San Cristóbal, CABA","Departamento - Departamento
Av. Independencia al 1700, San Cristóbal, CABA",", San Cristóbal, CABA",3 Ambientes,2 Dorm.,1 Baño,68 m² total,58 m² cubierto,USD 135.000,No especificado,Publicado el 28/10/2024
Departamento - Venta - Capital Federal,"Departamento - Departamento
México al 1200, Monserrat, CABA","Departamento - Departamento
México al 1200, Monserrat, CABA",", Monserrat, CABA",1 Ambiente,1 Baño,No especificado,33 m² cubierto,No especificado,USD 75.000,Expensas: $90.000,Publicado el 28/10/2024
Departamento - Venta - Capital Federal,"Departamento - Departamento
Arenales al 800, Retiro, CABA","Departamento - Departamento
Arenales al 800, Retiro, CABA",", Retiro, CABA",1 Ambiente,1 Baño,No especificado,28 m² cubierto,No especificado,USD 120.000,Expensas: $234.700,Publicado el 28/10/2024
Departamento De 2 Ambientes Al Frente C/balcón,"Departamento - Departamento
Terrada al al 1500, undefined, CABA","Departamento - Departamento
Terrada al al 1500, undefined, CABA",", undefined, CABA",2 Ambientes,1 Dorm.,1 Baño,47 m² total,42 m² cubierto,USD 59.500,Expensas: USD 75.000,Publicado el 28/10/2024
"Núñez: APTO CREDITO Casa sobre lote de 8,66 x14,00 P.B. Comercial","Casa - Casa
Ibera 2900, Nuñez, CABA","Casa - Casa
Ibera 2900, Nuñez, CABA",", Nuñez, CABA",7 Ambientes,5 Dorm.,5 Baños,231 m² total,211 m² cubierto,USD 420.000,Expensas: $74.250,Publicado el 28/10/2024
PALERMO BOTANICO VENTA 3 AMB C/BALCÓN -C/ DEPENDENCIA O ESCRITORIO,"Departamento - Departamento
Guemes 4149, Palermo, CABA","Departamento - Departamento
Guemes 4149, Palermo, CABA",", Palermo, CABA",3 Ambientes,2 Dorm.,1 Baño,88 m² total,80 m² cubierto,USD 180.000,No especificado,Publicado el 28/10/2024
Excelente 3 amb piso alto,"Departamento - Departamento
Gallo al 600, Almagro, CABA","Departamento - Departamento
Gallo al 600, Almagro, CABA",", Almagro, CABA",3 Ambientes,2 Dorm.,1 Baño,64 m² total,64 m² cubierto,USD 158.000,No especificado,Publicado el 28/10/2024
"Recoleta Barrio Norte 2 Ambientes 33,33m² 5° Piso * Listo Para Mudarse","Departamento - Departamento
Paraguay al 2957, Barrio Norte Recoleta, CABA","Departamento - Departamento
Paraguay al 2957, Barrio Norte Recoleta, CABA",", Barrio Norte Recoleta, CABA",2 Ambientes,1 Dorm.,1 Baño,33 m² total,33 m² cubierto,USD 86.000,No especificado,Publicado el 28/10/2024
